nom,issn,domaine,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022
"Corporate Governance: 
An International Review",0964-8410,"GEN MAN/
FIN",,,,3,
"Corporate Social Responsibility 
and Environmental Management",1535-3966,GEN MAN,,,,3,
"Corporate Social Responsibility and 
Environmental Management",1535-3966,GEN MAN,,,3,,
Creativity Research Journal,1040-0419,APP PSY/SOC,,,,4,
"Creativity and Innovation 
Management",0963-1690,INNOV,,4,,3,
Creativity and Innovation Management,0963-1690,INNOV,,,3,,
Creativity and Innovation Management,0963-1690,Innov,4,,,,
"Critical Perspectives on 
International Business",1742-2043,STRAT,,,,4,
Critical Perspectives on Accounting,1045-2354,ACC,,3,3,2,
Critical Perspectives on Accounting,1045-2354,CPT,3,,,,
"Critical Perspectives on International 
Business",1742-2043,STRAT,,4,4,,
Critical Perspectives on International Business,1742-2043,Strat,4,,,,
"Cross Cultural & Strategic 
Management",2059-5794,STRAT,,,,4,
"Cross Cultural Management: 
An International Journal",1352-7606,STRAT,,4,4,,
"Cross Cultural Management: An International 
Journal",1352-7606,Strat,4,,,,
Culture and Organization,1475-9551,ORG STUD,,4,4,4,
Culture and Organization,1475-9551,THO,4,,,,
Current Issues in Tourism,1368-3500,TOUR,,,,3,
DATABASE FOR ADVANCES IN INFORMATION SYSTEMS,1532-0936,MIS,,,,,4
DECISION SCIENCES,0011-7315,MIS,,,,,2
DECISION SUPPORT SYSTEMS,0167-9236,MIS,,,,,2
DECISIONS MARKETING,0779-7389,MKG,,,,,3
DEVELOPMENT AND CHANGE,0012-155X,SOC,,,,,3
"Data Base for Advances 
in Information Systems",1532-0936,MIS,,,,4,
"Data Base for Advances in 
Information Systems",1532-0936,MIS,,,3,,
"Database for Advances
in Information Systems",1532-0936,MIS,,3,,,
Database for Advances in Information Systems,1532-0936,SI,3,,,,
Decision Sciences,0011-7315,MIS/LOG,,,,2,
Decision Support Systems,0167-9236,MIS,,2,1,1,
Decision Support Systems,0167-9236,SI,2,,,,
Décisions Marketing,0779-7389,MKG,,3,3,3,
Décisions Marketing,0779-7389,Mkg,3,,,,
ECOLOGICAL ECONOMICS,1989-2021,ECON,,,,,2
ECONOMETRIC REVIEWS,0747-4938,ECON,,,,,3
ECONOMETRIC THEORY,0266-4666,ECON,,,,,1
ECONOMETRICA,0012-9682,ECON,,,,,1*
ECONOMETRICS JOURNAL,1368-4221,ECON,,,,,3
ECONOMIC AND INDUSTRIAL DEMOCRACY,0143-831X,HRM,,,,,3
ECONOMIC GEOGRAPHY,0013-0095,REG&ENV,,,,,1
ECONOMIC INQUIRY,0095-2583,ECON,,,,,3
ECONOMIC JOURNAL,0013-0133,ECON,,,,,1
ECONOMIC MODELLING,0264-9993,ECON,,,,,3
ECONOMICA,0013-0427,ECON,,,,,3
ECONOMICS LETTERS,0165-1765,ECON,,,,,3
ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,1043-8599,INNOV,,,,,4
ECONOMY AND SOCIETY,0308-5147,SOC,,,,,3
ELECTRONIC COMMERCE RESEARCH,1389-5753,MKG,,,,,4
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,1567-4223,GEN MAN,,,,,4
ELECTRONIC MARKETS,1019-6781,MIS,,,,,3
EMERGING MARKETS FINANCE AND TRADE,1540-496X,FIN,,,,,4
EMERGING MARKETS REVIEW,1566-0141,FIN,,,,,3
EMPLOYEE RELATIONS,0142-5455,HRM,,,,,3
ENERGY ECONOMICS,0140-9883,ECON,,,,,2
ENERGY JOURNAL,0195-6574,SECTOR,,,,,2
ENERGY POLICY,0301-4215,SECTOR,,,,,2
"ENGINEERING, CONSTRUCTION AND ARCHITECTURAL MANAGEMENT",0969-9988,SECTOR,,,,,4
ENTERPRISE & SOCIETY,1467-2227,BUS HIST,,,,,3
ENTREPRENDRE & INNOVER,2034-7634,INNOV,,,,,4
ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,0898-5626,INNOV,,,,,2
ENTREPRENEURSHIP RESEARCH JOURNAL,2157-5665,INNOV,,,,,4
ENTREPRENEURSHIP THEORY AND PRACTICE,1042-2587,INNOV,,,,,1
ENTREPRISE & SOCIETE,2553-7830,GEN MAN,,,,,4
ENTREPRISES ET HISTOIRE,1161-2770,BUS HIST,,,,,3
ENVIRONMENT AND PLANNING A,0308-518X,REG&ENV,,,,,2
ENVIRONMENT AND PLANNING D,1472-3433,SOC,,,,,4
ENVIRONMENTAL AND RESOURCE ECONOMICS,0924-6460,ECON,,,,,2
ENVIRONMENTAL MANAGEMENT,0364-152X,SECTOR,,,,,4
"EQUALITY, DIVERSITY AND INCLUSION: AN INTERNATIONAL JOURNAL",0261-0159,HRM,,,,,4
EURASIAN BUSINESS REVIEW,1309-4297,GEN MAN,,,,,4
EUROPE-ASIA STUDIES,0966-8136,SOC,,,,,4
EUROPEAN ACCOUNTING REVIEW,0963-8180,ACC,,,,,2
EUROPEAN BUSINESS REVIEW,0955-534X,GEN MAN,,,,,3
EUROPEAN ECONOMIC REVIEW,0014-2921,ECON,,,,,2
EUROPEAN FINANCIAL MANAGEMENT,1354-7798,FIN,,,,,3
EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,0959-6801,HRM,,,,,3
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,0960-085X,MIS,,,,,1
EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,1460-1060,INNOV,,,,,4
EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,1751-6757,GEN MAN,,,,,4
EUROPEAN JOURNAL OF MARKETING,0309-0566,MKG,,,,,2
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,0377-2217,LOG,,,,,1
EUROPEAN JOURNAL OF POLITICAL ECONOMY,0176-2680,ECON,,,,,3
EUROPEAN JOURNAL OF PUBLIC HEALTH,1101-1262,HLTH,,,,,3
EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,0967-2567,BUS HIST,,,,,3
EUROPEAN JOURNAL OF WORK & ORGANIZATIONAL PSYCHOLOGY,1359-432X,HRM,,,,,3
EUROPEAN MANAGEMENT JOURNAL,0263-2373,GEN MAN,,,,,3
EUROPEAN MANAGEMENT REVIEW,1740-4754,GEN MAN,,,,,2
EUROPEAN PLANNING STUDIES,0965-4313,REG&ENV,,,,,4
EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,MIS,,,,,3
Economic and Industrial Democracy,0143-831X,HRM,,,,3,
"Economics of Innovation 
and New Technology",1043-8599,INNOV,,,,4,
"Economics of Innovation and New 
Technology",1043-8599,INNOV,,2,3,,
Economics of Innovation and New Technology,1043-8599,Innov,2,,,,
"Economie et Société série Economie de 
l'Entreprise",1760-8864,THO,4,,,,
"Economies et Sociétés - Série AG 
(Systèmes Agroalimentaires)",0013-0567,STRAT,,4,4,,
"Economies et Sociétés - Série KC 
(Etudes critiques en Management)",0013-0567,GEN MAN,,,4,,
"Economies et Sociétés - Série KC 
(Série «Etudes critiques en Management»)",0013-0567,GEN MAN,,4,,,
"Electronic Commerce Research 
and Applications",1567-4223,GEN MAN,,,,3,
"Electronic Commerce Research and 
Applications",1567-4223,GEN MAN,,4,3,,
Electronic Commerce Research and Applications,1567-4223,MgtGen,4,,,,
"Electronic Journal of Information 
Systems Evaluation",1566-6379,MIS,,4,4,,
"Electronic Journal of Information Systems 
Evaluation",1566-6379,SI,4,,,,
Electronic Markets,1019-6781,MIS,,3,3,3,
Electronic Markets,1019-6781,SI,3,,,,
Emerging Markets Review,1566-0141,FIN,,,,3,
Employee Relations,0142-5455,GRH,4,,,,
Employee Relations,0142-5455,HRM,,4,3,3,
Enterprise & Society,1467-2227,BUS HIST,,,,3,
Enterprise and Society,1467-2227,BUS HIST,,3,3,,
Enterprise and Society,1467-2227,HPM,3,,,,
Entreprendre & Innover,2034-7634,INNOV,,,,4,
Entreprendre et Innover,2034-7634,INNOV,,,4,,
"Entrepreneurship 
and Regional Development",0898-5626,INNOV,,,,2,
Entrepreneurship Research Journal,2157-5665,INNOV,,,,4,
"Entrepreneurship and Regional 
Development",0898-5626,INNOV,,3,3,,
Entrepreneurship and Regional Development,0898-5626,Innov,3,,,,
"Entrepreneurship: 
Theory and Practice",1042-2587,INNOV,,1,,1,
Entrepreneurship: Theory and Practice,1042-2587,INNOV,,,1,,
Entrepreneurship: Theory and Practice,1042-2587,Innov,1,,,,
Entreprise et Histoire,1161-2770,BUS HIST,,4,4,,
Entreprise et Histoire,1161-2770,HPM,4,,,,
Entreprises et Histoire,1161-2770,BUS HIST,,,,4,
Europe-Asia Studies,0966-8136,GEN MAN,,4,4,4,
European Accounting Review,0963-8180,ACC,,2,2,2,
European Accounting Review,0963-8180,CPT,2,,,,
European Business Review,0955-534X,GEN MAN,,3,3,3,
European Business Review,0955-534X,MgtGen,3,,,,
European Financial Management,1354-7798,FIN,,3,3,3,
