nom de la revue,issn,rang,domaine
Journal of the Academy of Marketing Science,0092-0703,2,Mkg
Journal of Travel & Tourism Marketing,1540-7306,4,Mkg
Journal of Vocational Behavior,0001-8791,2,GRH
"Journal of World Business (formely Columbia 
JWB)",1090-9516,2,Strat
Knowledge Management Research & Practice,1477-8238,3,SI
La Revue du Financier,0223-0143,4,Fin
Labor History,0023-656X,4,HPM
Leadership,1742-7150,4,THO
Leadership Quarterly,1048-9843,2,GRH
Learning Organization,0969-6474,4,THO
Local Government Studies,0300-3930,3,Publique
Logistique & Management,1250-7970,4,Log
Long Range Planning,0024-6301,2,Strat
M@n@gement,1286-4892,2,MgtGen
Management & Avenir,1768-5958,4,MgtGen
Management Accounting Quarterly,1528-5359,4,CPT
Management Accounting Research,1044-5005,2,CPT
Management and Organizational History,1744-9359,4,HPM
Management Communication Quarterly,0893-3189,4,THO
Management Decision,0025-1747,4,MgtGen
Management International,1206-1697,3,Strat
Management International Review,0025-181X,3,Strat
Management Learning,1350-5076,3,MgtGen
Management Science,0025-1909,1*,MgtGen/Log
Managerial Auditing Journal,0268-6902,4,CPT
Managerial Finance,0307-4358,4,Fin
"Manufacturing and Service Operations 
Management",1523-4614,4,Log
Marketing Letters,0923-0645,2,Mkg
Marketing Science,0732-2399,1,Mkg
Marketing Theory,1470-5931,4,Mkg
Mathematical Finance,0960-1627,2,Fin
Medical Care,0025-7079,1,Santé
Medical Care and Research Review,1077-5587,3,Santé
Medical Decision Making,0272-989X,2,Santé
"Milbank Memorial Fund Quarterly - The Milbank 
Quarterly",0887-378X,2,Santé
MIS Quarterly,0276-7783,1*,SI
Multinational Business Review,1525-383X,4,Strat
Multinational Finance Journal,1096-1879,4,Fin
North American Actuarial Journal,1092-0277,4,Fin
Organization,1350-5084,1,THO
Organization and Environment,1086-0266,3,THO
Organization Science,1047-7039,1,THO
Organization Studies,0170-8406,1,THO
"Organizational Behavior and Human Decision 
Processes",0749-5978,1,GRH
Organizational Dynamics,0090-2616,2,THO
Organizational Research Methods,1094-4281,2,THO
Pacific Basin Finance Journal,0927-538X,3,Fin
Personnel Psychology,0031-5826,1,GRH
Personnel Review,0048-3486,3,GRH
Pharmacoeconomics,1170-7690,2,Santé
Policy and Politics,0305-5736,2,Publique
Politiques et Management Public,0758-1726,4,Publique
Production and Inventory Management Journal,0897-8336,3,Log
Production and Operations Management,1059-1478,1,Log
Production Planning and Control,0953-7287,2,Log
Psychology and Marketing,0742-6046,2,Mkg
Public Administration and Development,0271-2075,3,Publique
Public Administration Review,0033-3352,1,Publique
Public Administration: An International Quarterly,0033-3298,3,Publique
Public Health,0033-3506,3,Santé
Public Management Review,1471-9037,3,Publique
Public Money and Management,0954-0962,3,Publique
Public Organization Review,1566-7170,3,Publique
Qualitative Market Research,1352-2752,4,Mkg
Quality and Safety in Health Care,1475-3898,2,Santé
Quality Management Journal,1068-6967,4,Log
Quality of Life Research,0962-9343,3,Santé
Quantitative Finance,1469-7688,3,Fin
Quantitative Marketing & Economics,1570-7156,3,Mkg
R&D Management,0033-6807,3,Innov
Real Estate Economics,1080-8620,3,Fin
Recherche et Applications en Marketing,0767-3701,2,Mkg
"Recherches en Sciences de Gestion - 
Management Sciences - Ciencias de Gestión ( 
Ancien nom : Revue Sciences de Gestion)",1634-7056,4,MgtGen
Relations Industrielles / Industrial Relations,0034-379X,3,GRH
Research in International Business and Finance,0275-5319,4,Fin
Research in Organizational Behavior,0191-3085,2,THO
Research Policy,0048-7333,2,Innov
Réseaux,0751-7971,4,SI
Review of Accounting and Finance,1475-7702,4,CPT
Review of Accounting Studies,1380-6653,1,CPT
Review of Derivatives Research,1380-6645,4,Fin
Review of Finance (ex-European Finance Review),1382-6662,1,Fin
Review of Financial Economics,1058-3300,4,Fin
Review of Financial Studies,0893-9454,1,Fin
Review of Public Personnel Administration,0734-371X,4,GRH
Review of Quantitative Finance and Accounting,0924-865X,3,Fin
Revue de Gestion des Ressources Humaines,1163-913X,3,GRH
Revue de l'Entrepreneuriat,1630-7542,4,Innov
Revue de l'Organisation Responsable,1951-0187,4,MgtGen
Revue d'Economie Financière,1777-5744,4,Fin
Revue Française d'Administration Publique,0152-7401,4,Publique
Revue Française de Gestion,0338-4551,4,MgtGen
Revue Française de Gestion industrielle,0242-9780,4,Log
Revue Française du Marketing,0035-3051,4,Mkg
Revue Humanisme  et Entreprise,0018-7372,4,GRH
Revue Internationale PME,0776-5436,4,Innov
Scandinavian Journal of Management,0956-5221,3,MgtGen
Sciences Sociales et Santé,0294-0337,4,Santé
Small Business Economics,0921-898X,2,Innov
Social Science and Medicine,0277-9536,1,Santé
Strategic Change,1086-1718,3,Strat
Strategic Entrepreneurship Journal,1932-4391,2,Innov
Strategic Management Journal,0143-2095,1*,Strat
Strategic Organization,1476-1270,3,Strat
Supply Chain Forum: An International Journal,1624-6039,4,Log
"Supply Chain Management: An International 
Journal",1359-8546,3,Log
Systèmes d'Information et Management,1260-4984,2,SI
Technological Forecasting and Social Change,0040-1625,2,Innov
Technology Analysis and Strategic Management,0953-7325,3,Strat
Technovation,0166-4972,3,Innov
"The Academy of Management Learning and 
Education",1537-260X,3,MgtGen
The European Journal of Finance,1351-847X,4,Fin
"The International Journal of Technology 
Assessment in Health",0266-4623,3,Santé
Thunderbird International Business Review,1096-4762,4,Strat
Transportation Research Part E: Logistics,1366-5545,2,Log
Value in Health,1098-3015,2,Santé
Work and Occupations,0730-8884,3,GRH
Work and Stress,0267-8373,3,GRH
Work Employment and Society,0950-0170,3,GRH
