issn,journal_names,journal_hal,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022,rang_2025
1475-9551,Culture and Organization; CULTURE AND ORGANIZATION,Culture and Organization,4,4,4,4,4,3
1368-3500,Current Issues in Tourism; CURRENT ISSUES IN TOURISM,Current Issues in Tourism,,,,3,3,3
1532-0936,"Database for Advances in Information Systems; Database for Advances
in Information Systems; Data Base for Advances in 
Information Systems; Data Base for Advances 
in Information Systems; DATABASE FOR ADVANCES IN INFORMATION SYSTEMS",Data Base for Advances in Information Systems,3,3,3,4,4,3
0011-7315,Decision Sciences; DECISION SCIENCES,Decision Sciences,,,,2,2,2
0167-9236,Decision Support Systems; DECISION SUPPORT SYSTEMS,Decision Support Systems,2,2,1,1,2,2
0779-7389,Décisions Marketing; DECISIONS MARKETING,Décisions Marketing,3,3,3,3,3,3
0143-831X,Economic and Industrial Democracy; ECONOMIC AND INDUSTRIAL DEMOCRACY,Economic and Industrial Democracy,,,,3,3,3
1043-8599,"Economics of Innovation and New Technology; Economics of Innovation and New 
Technology; Economics of Innovation 
and New Technology; ECONOMICS OF INNOVATION AND NEW TECHNOLOGY",Economics of Innovation and New Technology,2,2,3,4,4,3
1567-4223,"Electronic Commerce Research and Applications; Electronic Commerce Research and 
Applications; Electronic Commerce Research 
and Applications; ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS",Electronic Commerce Research and Applications,4,4,3,3,4,4
1019-6781,Electronic Markets; ELECTRONIC MARKETS,Electronic Markets,3,3,3,3,3,3
1566-0141,Emerging Markets Review; EMERGING MARKETS REVIEW,Emerging Markets Review,,,,3,3,3
0142-5455,Employee Relations; EMPLOYEE RELATIONS,Employee Relations,4,4,3,3,3,3
1467-2227,Enterprise and Society; Enterprise & Society; ENTERPRISE & SOCIETY,Enterprise & Society,3,3,3,3,3,3
2034-7634,Entreprendre et Innover; Entreprendre & Innover; ENTREPRENDRE & INNOVER,Entreprendre & Innover,,,4,4,4,4
2157-5665,Entrepreneurship Research Journal; ENTREPRENEURSHIP RESEARCH JOURNAL,Entrepreneurship Research Journal,,,,4,4,3
0898-5626,"Entrepreneurship and Regional Development; Entrepreneurship and Regional 
Development; Entrepreneurship 
and Regional Development; ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT",Entrepreneurship and Regional Development,3,3,3,2,2,2
1042-2587,"Entrepreneurship: Theory and Practice; Entrepreneurship: 
Theory and Practice; ENTREPRENEURSHIP THEORY AND PRACTICE",Entrepreneurship: Theory and Practice,1,1,1,1,1,1*
1161-2770,Entreprise et Histoire; Entreprises et Histoire; ENTREPRISES ET HISTOIRE,Entreprises et Histoire,4,4,4,4,3,4
0966-8136,Europe-Asia Studies; EUROPE-ASIA STUDIES,Europe-Asia Studies,,4,4,4,4,4
0963-8180,European Accounting Review; EUROPEAN ACCOUNTING REVIEW,European Accounting Review,2,2,2,2,2,2
0955-534X,European Business Review; EUROPEAN BUSINESS REVIEW,European Business Review,3,3,3,3,3,3
1354-7798,European Financial Management; EUROPEAN FINANCIAL MANAGEMENT,European Financial Management,3,3,3,3,3,3
0959-6801,"European Journal of Industrial Relations; European Journal of Industrial 
Relations; EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS",European Journal of Industrial Relations,3,3,3,3,3,3
0960-085X,"European Journal of Information Systems; European Journal of Information 
Systems; EUROPEAN JOURNAL OF INFORMATION SYSTEMS",European Journal of Information Systems,1,1,1,1,1,1*
1460-1060,"European Journal of Innovation Management; European Journal of Innovation 
Management; EUROPEAN JOURNAL OF INNOVATION MANAGEMENT",European Journal of Innovation Management,4,4,4,4,4,3
1751-6757,"European Journal of International 
Management; EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT",European Journal of International Management,,,,4,4,4
0309-0566,European Journal of Marketing; EUROPEAN JOURNAL OF MARKETING,European Journal of Marketing,3,3,3,3,2,2
0377-2217,"European Journal of Operational 
Research; EUROPEAN JOURNAL OF OPERATIONAL RESEARCH",European Journal of Operational Research,,,1,1,1,1
1101-1262,European Journal of Public Health; EUROPEAN JOURNAL OF PUBLIC HEALTH,European Journal of Public Health,3,3,3,3,3,4
1359-432X,"European Journal of Work & Organizational 
Psychology; European Journal of Work & 
Organizational Psychology; European Journal of Work and 
Organizational Psychology; EUROPEAN JOURNAL OF WORK & ORGANIZATIONAL PSYCHOLOGY",European Journal of Work & Organizational Psychology,4,3,3,3,3,3
0967-2567,"European Journal of The History of Economic 
Thought; European Journal of The History of 
Economic Thought; European Journal of the History of 
Economic Thought; European Journal of the History 
of Economic Thought; EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT",European Journal of the History of Economic Thought,2,3,3,3,3,3
0263-2373,European Management Journal; EUROPEAN MANAGEMENT JOURNAL,European Management Journal,3,3,3,3,3,3
1740-4754,European Management Review; EUROPEAN MANAGEMENT REVIEW,European Management Review,2,2,2,2,2,2
1356-3890,"Evaluation; Evaluation: The international journal 
of theory, research and practice; Evaluation: The International Journal 
of Theory, Research and Practice; Evaluation: The International Journal of Theory, Research and Practice","Evaluation: The International Journal of Theory, Research and Practice",3,3,3,3,3,3
0957-4174,Expert Systems with Applications; EXPERT SYSTEMS WITH APPLICATIONS,Expert Systems with Applications,,3,3,3,3,3
0894-4865,Family Business Review; FAMILY BUSINESS REVIEW,Family Business Review,2,2,2,2,2,2
0752-6180,Finance; FINANCE,Finance,2,2,2,2,2,2
1287-1141,Finance Contrôle Stratégie; FINANCE CONTRÔLE STRATEGIE,Finance Contrôle Stratégie,3,3,3,3,3,3
1544-6123,Finance Research Letters; FINANCE RESEARCH LETTERS,Finance Research Letters,3,3,3,3,3,3
0949-2984,Finance & Stochastics; Finance and Stochastics; FINANCE AND STOCHASTICS FINANCE BULLETIN,Finance and Stochastics,3,3,2,2,2,2
0267-4424,"Financial Accountability and Management; Financial Accountability and 
Management; FINANCIAL ACCOUNTABILITY AND MANAGEMENT",Financial Accountability and Management,2,2,3,3,3,4
0015-198X,Financial Analysts Journal; FINANCIAL ANALYSTS JOURNAL,Financial Analysts Journal,3,3,2,2,2,2
0968-5650,Financial History Review; FINANCIAL HISTORY REVIEW,Financial History Review,3,3,3,4,4,4
0046-3892,Financial Management; FINANCIAL MANAGEMENT,Financial Management,2,2,2,2,2,2
1555-4961,"Financial Markets and Portfolio 
Management; Financial Markets and Portfolio Management; Financial Markets 
and Portfolio Management; FINANCIAL MARKETS AND PORTFOLIO MANAGEMENT",Financial Markets and Portfolio Management,,4,4,4,4,4
0963-8008,"Financial Markets, Institutions & Instruments; Financial Markets, Institutions & 
Instruments; Financial Markets, Institutions 
& Instruments; FINANCIAL MARKETS, INSTITUTIONS AND INSTRUMENTS","Financial Markets, Institutions & Instruments",3,3,3,3,3,3
0732-8516,Financial Review; FINANCIAL REVIEW,Financial Review,4,4,3,3,3,3
0016-3287,Futures; FUTURES,Futures,3,3,3,3,3,3
0968-6673,"Gender, Work and Organization; GENDER, WORK AND ORGANIZATION","Gender, Work and Organization",4,3,3,3,2,2
1018-5895,"Geneva Papers on Risk and Insurance: Issues and 
Practices; Geneva Papers on Risk and 
Insurance: Issues and Practices; Geneva Papers on Risk and 
Insurance - Issues and Practice; GENEVA PAPERS ON RISK AND INSURANCE: ISSUES AND PRACTICE",Geneva Papers on Risk and Insurance - Issues and Practice,3,4,4,3,3,3
0701-0028,"Gestion - Revue Internationale de Gestion; Gestion - Revue Internationale de 
Gestion; Gestion - Revue Internationale 
de Gestion",Gestion - Revue Internationale de Gestion,4,4,4,4,,
0773-0543,Gestion 2000; GESTION 2000 GESTION ET MANAGEMENT PUBLIC; MANAGEMENT & PROSPECTIVE (GESTION 2000),Gestion 2000,,4,4,4,3,3
