issn,journal_names,journal_hal,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022,rang_2025
1262-2788,"Comptabilité, Contrôle, Audit; COMPTABILITE - CONTRÔLE - AUDIT; COMPTABILITÉ-CONTRÔLE-AUDIT",,2,2,2,2,2,2
2259-6372,RECHERCHES EN SCIENCES DE GESTION - MANAGEMENT SCIENCES - CIENCIAS DE GESTION,,,,,,3,3
2040-8269,MANAGEMENT RESEARCH REVIEW,,,,,,4,4
1066-2243,INTERNET RESEARCH,,,,,,4,3
1938-9663,Cornell Hospitality Quarterly,,,,,,4,4
1526-6133,JOURNAL OF ELECTRONIC COMMERCE RESEARCH,,,,,,4,4
1385-951X,INFORMATION TECHNOLOGY AND MANAGEMENT,,,,,,4,4
0165-1765,ECONOMICS LETTERS,,,,,,3,
1056-8190,PAPERS IN REGIONAL SCIENCE,,,,,,3,3
0305-750X,WORLD DEVELOPMENT,,,,,,2,2
1381-4338,JOURNAL OF ECONOMIC GROWTH,,,,,,1,
0263-2764,"THEORY, CULTURE AND SOCIETY",,,,,,3,3
0195-6574,ENERGY JOURNAL,,,,,,2,2
1382-6662,Review of Finance (ex-European Finance Review),,1,,,,,
0195-8631,Health Care Financing Review,,3,,,,,
2168-1007,ACADEMY OF MANAGEMENT DISCOVERIES,,,,,,4,3
1068-6967,Quality Management Journal,,4,4,4,,,
0018-7372,Revue Humanisme  et Entreprise,,4,,,,,
0306-9192,FOOD POLICY,,,,,,3,3
0047-2727,JOURNAL OF PUBLIC ECONOMICS,,,,,,1,1
0017-4815,GROWTH AND CHANGE,,,,,,4,3
0022-0515,JOURNAL OF ECONOMIC LITERATURE,,,,,,1,
0924-6460,ENVIRONMENTAL AND RESOURCE ECONOMICS,,,,,,2,2
0144-8188,INTERNATIONAL REVIEW OF LAW AND ECONOMICS,,,,,,3,
0013-0427,ECONOMICA,,,,,,3,3
2321-029X,IIM KOZHIKODE SOCIETY & MANAGEMENT REVIEW,,,,,,4,4
0022-0027,JOURNAL OF CONFLICT RESOLUTION,,,,,,3,2
0304-4068,JOURNAL OF MATHEMATICAL ECONOMICS,,,,,,2,
2059-5891,,,,,,,,
1780-9231,Négociations; NEGOCIATIONS,,,4,,,4,4
0140-9883,ENERGY ECONOMICS,,,,,,2,2
0049-4488,TRANSPORTATION,,,,,,4,3
1744-6619,JOURNAL OF CREDIT RISK,,,,,,4,4
1540-1960,"MIS Quarterly Executive: a research 
journal dedicated to improving prac-
tice; MIS QUARTERLY EXECUTIVE",,,,,3,3,3
0308-597X,MARINE POLICY,,,,,,4,4
0258-6770,X WORLD BANK ECONOMIC REVIEW; WORLD BANK ECONOMIC REVIEW,,,,,,2,3
1086-1718,Strategic Change; STRATEGIC CHANGE,,3,3,4,,4,4
0037-7732,SOCIAL FORCES,,,,,,3,3
1447-9338,"INNOVATION: ORGANIZATION & MANAGEMENT (formerly: Innovation: Management, Policy and Practice)",,,,,,4,3
0022-0531,JOURNAL OF ECONOMIC THEORY,,,,,,1,
0013-0133,ECONOMIC JOURNAL,,,,,,1,
0738-1360,MARINE RESOURCE ECONOMICS,,,,,,4,4
0889-4019,CAREER DEVELOPMENT QUARTERLY,,,,,,4,4
0047-2530,JOURNAL OF LEGAL STUDIES,,,,,,3,
0883-7252,JOURNAL OF APPLIED ECONOMETRICS,,,,,,2,
1743-8268,"International Journal of Knowledge 
Management Studies; INTERNATIONAL JOURNAL OF KNOWLEDGE MANAGEMENT STUDIES",,,,4,,,4
encours,,,,,,,,
0261-0159,"EQUALITY, DIVERSITY AND INCLUSION: AN INTERNATIONAL JOURNAL",,,,,,4,4
0007-2303,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,,,,,,2,
0895-6308,RESEARCH-TECHNOLOGY MANAGEMENT,,,,,,3,3
1945-7669,AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,,,,,,2,
1468-7976,TOURIST STUDIES,,,,,,4,4
0969-6016,INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH,,,,,,4,4
1309-4297,EURASIAN BUSINESS REVIEW,,,,,,4,4
2555-4670,SYSTEMES AGROALIMENTAIRES / FOOD SYSTEMS (EX ECONOMIES ET SOCIETES - SERIE AG (SYSTEMES AGROALIMENTAIRES); SYSTÈMES AGROALIMENTAIRES / FOOD SYSTEMS,,,,,,4,4
1751-1348,JOURNAL OF MANAGEMENT HISTORY,,,,,,4,4
1035-6908,AUSTRALIAN ACCOUNTING REVIEW,,,,,,4,3
0735-0015,JOURNAL OF BUSINESS AND ECONOMIC STATISTICS,,,,,,1,1
1361-9209,TRANSPORTATION RESEARCH D: TRANSPORT AND ENVIRONMENT,,,,,,2,2
1476-7503,Action Research; ACTION RESEARCH,,,,4,,4,4
0304-3932,JOURNAL OF MONETARY ECONOMICS,,,,,,1,
0007-1315,BRITISH JOURNAL OF SOCIOLOGY,,,,,,3,3
2214-8043,"Journal of Behavioral and 
Experimental Economics (formerly 
Journal of Socio-economics); JOURNAL OF BEHAVIORAL AND EXPERIMENTAL ECONOMICS (Formerly: Journal of Socio-Economics)",,,,,3,3,3
0987-3368,REVUE D'ÉCONOMIE FINANCIERE; REVUE D'ECONOMIE FINANCIÈRE,,,,,,4,4
1094-2025,REVIEW OF ECONOMIC DYNAMICS,,,,,,2,
1083-5423,TOURISM ANALYSIS,,,,,,4,4
0176-2680,EUROPEAN JOURNAL OF POLITICAL ECONOMY,,,,,,3,
1566-6379,"Electronic Journal of Information Systems 
Evaluation; Electronic Journal of Information 
Systems Evaluation",,4,4,4,,,
0250-8281,TOURISM RECREATION RESEARCH,,,,,,4,4
1473-8376,"JOURNAL OF HOSPITALITY, LEISURE, SPORT AND TOURISM EDUCATION",,,,,,4,4
0890-2577,"Journal of Manufacturing and Operations 
Management; Journal of Manufacturing and 
Operations Management",,3,3,4,,,
1463-1377,POST-COMMUNIST ECONOMIES,,,,,,4,
1945-497X,SIAM JOURNAL ON FINANCIAL MATHEMATICS,,,,,,4,4
1175-5652,Applied Health Economics and Policy,,4,,,,,
0167-4870,JOURNAL OF ECONOMIC PSYCHOLOGY,,,,,,3,3
0967-070X,XTRANSPORT POLICY; TRANSPORT POLICY,,,,,,3,3
1476-6930,JOURNAL OF REVENUE AND PRICING MANAGEMENT,,,,,,4,4
1447-9524,"International Journal of Knowledge, Culture and 
Change Management; International Journal of Knowledge, 
Culture and Change Management; INTERNATIONAL JOURNAL OF KNOWLEDGE, CULTURE AND CHANGE MANAGEMENT",,4,4,4,,4,4
8756-9728,PROJECT MANAGEMENT JOURNAL,,,,,,4,
1099-2340,INTERNATIONAL JOURNAL OF TOURISM RESEARCH,,,,,,4,3
1057-9230,Health Economics,,1,,,,,2
0263-2772,FACILITIES,,,,,,4,4
1766-2524,REVENUE DE L'ENTREPRENEURIAT; REVUE DE L'ENTREPRENEURIAT,,,,,,2,2
0767-3701,"Recherche et Applications en Marketing; Recherche et Applications en 
Marketing; RECHERCHE ET APPLICATIONS EN MARKETING",,2,2,2,2,2,2
0309-166X,CAMBRIDGE JOURNAL OF ECONOMICS,,,,,,3,
0095-2583,ECONOMIC INQUIRY,,,,,,3,
1460-1559,JOURNAL OF COMPUTATIONAL FINANCE,,,,,,4,4
0261-4367,LEISURE STUDIES,,,,,,4,4
2553-7830,ENTREPRISE & SOCIETE; ENTREPRISE ET SOCIÉTÉ,,,,,,4,4
0022-2186,JOURNAL OF LAW AND ECONOMICS,,,,,,1,2
2211-9736,TOURISM MANAGEMENT PERSPECTIVES,,,,,,4,3
0034-6535,REVIEW OF ECONOMICS AND STATISTICS,,,,,,1,
2405-8513,JOURNAL OF COMMODITY MARKETS,,,,,,4,
1157-8637,"Communications et Stratégies; Communications & Strategies -  
DigiWorld Economic Journal",,4,4,,,,
1542-4766,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,,,,,,1,
1048-6682,NONPROFIT MANAGEMENT AND LEADERSHIP,,,,,,4,4
0038-0385,SOCIOLOGY,,,,,,2,2
0965-7576,REVIEW OF INTERNATIONAL ECONOMICS,,,,,,3,
1439-2917,SCHMALENBACH BUSINESS REVIEW; SCHMALENBACH JOURNAL OF BUSINESS RESEARCH,,,,,,4,4
0223-0143,La Revue du Financier; LA REVUE DU FINANCIER,,4,,,,EM,
0897-3660,Advances in International Accounting,,3,3,3,,,
1472-4782,ASIAN BUSINESS AND MANAGEMENT,,,,,,4,4
0094-1190,JOURNAL OF URBAN ECONOMICS,,,,,,2,
0022-3808,JOURNAL OF POLITICAL ECONOMY,,,,,,1*,1*
0748-4526,NEGOTIATION JOURNAL,,,,,,4,4
1945-7707,AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,,,,,,1,
0147-1767,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,,,,,,4,4
1368-4221,ECONOMETRICS JOURNAL,,,,,,3,
1352-7258,INTERNATIONAL JOURNAL OF HERITAGE STUDIES,,,,,,4,4
1611-1699,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,,,,,,4,4
0165-1889,JOURNAL OF ECONOMIC DYNAMICS AND CONTROL,,,,,,2,2
1469-3569,BUSINESS AND POLITICS,,,,,,4,
0309-1317,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,,,,,,3,3
1061-6934,SPORT MARKETING QUARTERLY,,,,,,4,4
0095-0696,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,,,,,,1,1
0360-0572,ANNUAL REVIEW OF SOCIOLOGY,,,,,,2,2
1756-6266,INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP,,,,,,4,4
0164-0704,JOURNAL OF MACROECONOMICS,,,,,,3,
2259-2490,"Revue Interdisciplinaire,  
Management, Homme(s) &  
Entreprise (RIMHE); Revue Interdisciplinaire Management, 
Homme et Entreprise (RIMHE); Revue Interdisciplinaire sur le 
Management, Homme & Entreprise 
(RIMHE); REVUE INTERDISCIPLINAIRE SUR LE MANAGEMENT, HOMME & ENTREPRISE (RIMHE); REVUE INTERDISCIPLINAIRE, MANAGEMENT, HOMME & ENTREPRISE (RIMHE)",,,4,4,3,3,4
1465-1211,JOURNAL OF RISK,,,,,,4,4
1441-3523,SPORT MANAGEMENT REVIEW,,,,,,4,3
0747-4938,ECONOMETRIC REVIEWS,,,,,,3,
1096-3480,JOURNAL OF HOSPITALITY AND TOURISM RESEARCH,,,,,,4,3
0894-8453,JOURNAL OF CAREER DEVELOPMENT,,,,,,4,4
2055-6225,JOURNAL OF SERVICE THEORY AND PRACTICE (Formerly: Managing Service Quality: an International Journal),,,,,,4,4
2332-2373,AFRICA JOURNAL OF MANAGEMENT,,,,,,4,4
0003-6846,APPLIED ECONOMICS,,,,,,3,3
0277-2027,BUSINESS AND PROFESSIONAL ETHICS JOURNAL,,,,,,4,4
1768-5958,Management & Avenir; MANAGEMENT & AVENIR MANAGEMENT & AVENIR SANTE,,4,4,3,3,3,4
1872-9495,GLOBAL ENVIRONMENTAL CHANGE,,,,,,3,
1476-6086,"JOURNAL OF MANAGEMENT, SPIRITUALITY AND RELIGION",,,,,,4,4
1046-4964,SMALL GROUP RESEARCH,,,,,,4,3
0020-6598,INTERNATIONAL ECONOMIC REVIEW,,,,,,1,
2110-7017,INTERNATIONAL ECONOMICS,,,,,,4,
0042-0980,XURBAN STUDIES; URBAN STUDIES,,,,,,2,2
1462-4621,INTERNATIONAL JOURNAL OF MANAGEMENT AND DECISION MAKING,,,,,,4,4
0242-9780,"Revue Française de Gestion industrielle; Revue Française de Gestion 
Industrielle; REVUE FRANÇAISE DE GESTION INDUSTRIELLE",,4,4,,,EM,EM
1573-3424,International Journal of Stress Management,,,,,,4,
0155-9982,ACCOUNTING FORUM,,,,,,4,3
1044-8004,HUMAN RESOURCE DEVELOPMENT QUARTERLY,,,,,,4,4
1740-3812,PHILOSOPHY OF MANAGEMENT,,,,,,4,4
1753-0350,JOURNAL OF CULTURAL ECONOMY,,,,,,4,4
1176-6093,QUALITATIVE RESEARCH IN ACCOUNTING AND MANAGEMENT,,,,,,4,3
0966-6923,JOURNAL OF TRANSPORT GEOGRAPHY,,,,,,4,3
0038-0121,SOCIO-ECONOMIC PLANNING SCIENCES: THE INTERNATIONAL JOURNAL OF PUBLIC SECTOR DECISION-MAKING,,,,,,4,4
2262-5321,VIE ET SCIENCES DE L'ENTREPRISE; VIE ET SCIENCES DE L'ENTREPRISE (VSE),,,,,,4,4
0891-2432,GENDER AND SOCIETY,,,,,,3,2
0899-7640,NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,,,,,,2,2
"1267-4982
2032-5355",,,,,,,,
0378-8733,SOCIAL NETWORKS,,,,,,4,4
1866-5888,JOURNAL OF PERSONNEL PSYCHOLOGY,,,,,,4,4
1368-3047,MEASURING BUSINESS EXCELLENCE,,,,,,4,4
0957-4903,International Journal of Logistics Management,,3,,,,,
1863-6683,REVIEW OF MANAGERIAL SCIENCE,,,,,,4,3
1354-8166,TOURISM ECONOMICS,,,,,,4,4
0168-7034,JOURNAL OF CONSUMER POLICY,,,,,,4,4
0959-3780,GLOBAL ENVIRONMENTAL CHANGE,,,,,,3,2
1170-7690,Pharmacoeconomics,,2,,,,,
0166-0462,REGIONAL SCIENCE AND URBAN ECONOMICS,,,,,,3,3
1746-5265,BALTIC JOURNAL OF MANAGEMENT,,,,,,4,4
1468-2702,JOURNAL OF ECONOMIC GEOGRAPHY,,,,,,1,2
0895-562X,JOURNAL OF PRODUCTIVITY ANALYSIS,,,,,,4,3
1168-5549,COMMUNICATION ET ORGANISATION,,,,,,EM,
1753-8378,INTERNATIONAL JOURNAL OF MANAGING PROJECTS IN BUSINESS,,,,,,4,4
0167-2533,Human System Management; Human Systems Management,,4,4,4,,,
0888-7985,JOURNAL OF INFORMATION SYSTEMS,,,,,,4,4
1936-6582,"Flexible Services and Manufacturing 
Journal (ex International Journal of 
Flexible Manufacturing Systems); FLEXIBLE SERVICES AND MANUFACTURING JOURNAL (Formerly: International Journal of Manufacturing Systems)",,,,3,3,4,4
0301-4215,ENERGY POLICY,,,,,,2,2
1361-2026,JOURNAL OF FASHION MARKETING AND MANAGEMENT,,,,,,4,4
1465-6485,GERMAN ECONOMIC REVIEW,,,,,,4,
0347-0520,SCANDINAVIAN JOURNAL OF ECONOMICS,,,,,,3,
1269-6935,Journal Européen des Systèmes Automatisés,,3,,,,,
0268-5809,CURRENT SOCIOLOGY,,,,,,4,4
0927-5371,LABOUR ECONOMICS,,,,,,2,2
0308-5961,TELECOMMUNICATIONS POLICY,,,,,,4,4
1096-1879,Multinational Finance Journal,,4,4,4,,,
0294-0337,Sciences Sociales et Santé,,4,,,,,
0023-5962,KYKLOS,,,,,,3,3
0019-7939,"Industrial and Labor Relations Review; Industrial and Labor Relations 
Review; ILR Review (ex Industrial and Labor 
Relations Review); ILR REVIEW (INDUSTRIAL AND LABOR RELATIONS REVIEW)",,1,2,2,3,2,2
0013-0567,"Economies et Sociétés - Série AG 
(Systèmes Agroalimentaires); Systèmes Agroalimentaires / 
Food systems (ex Economies et 
Sociétés - Série AG (Systèmes 
Agroalimentaires)",,,4,4,4,,
1083-4427,"IEEE Transaction on Systems, Man and 
Cybernetics - A; IEEE Transaction on Systems, 
Man and Cybernetics - A; IEEE Transactions on Systems, Man, 
and Cybernetics - Part A: Systems 
and Humans",,3,3,3,,,
0144-1647,TRANSPORT REVIEWS,,,,,,3,3
1470-6423,INTERNATIONAL JOURNAL OF CONSUMER STUDIES,,,,,,4,3
0888-4773,JOURNAL OF SPORT MANAGEMENT,,,,,,4,4
0022-2879,"JOURNAL OF MONEY, CREDIT AND BANKING",,,,,,1,1
1352-7606,"Cross Cultural Management: An International 
Journal; Cross Cultural Management: 
An International Journal",,4,4,4,,,
1548-3908,"International Journal of Technology and Human 
Interaction; International Journal of Technology 
and Human Interaction",,4,4,4,,,
0734-306X,JOURNAL OF LABOR ECONOMICS,,,,,,1,1
0308-5147,ECONOMY AND SOCIETY,,,,,,3,3
0264-2069,SERVICE INDUSTRIES JOURNAL,,,,,,4,3
2044-4087,SOCIAL BUSINESS,,,,,,4,4
1945-7782,AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,,,,,,1,
1540-496X,EMERGING MARKETS FINANCE AND TRADE,,,,,,4,4
