journal,issn,domaine_2011,rang_2011,domaine_2013,rang_2013,domaine_2016,rang_2016,domaine_2019,rang_2019,domaine_2022,rang_2022
ieee transaction on humanmachine systems formerly ieee transactions on systems man and cybernetics part c applications and,2168-2291,,,,,,,,,mis,3
"ieee transaction on systems 
man and cybernetics  a",1083-4427,,,mis,3,,,,,,
"ieee transaction on systems 
man and cybernetics  c",1094-6977,,,mis,4,,,,,,
"ieee transaction on systems man and 
cybernetics  a",1083-4427,si,3,,,,,,,,
"ieee transaction on systems man and 
cybernetics  c",1094-6977,si,3,,,,,,,,
ieee transaction on systems man and cybernetics systems formerly ieee transactions on systems man and cybernetics  part a,2168-2216,,,,,,,,,mis,3
"ieee transactions on engineering 
management",0018-9391,,,mis,2,mis,2,mis,2,,
ieee transactions on engineering management,0018-9391,si,2,,,,,,,mis,2
"ieee transactions on human
machine systems",2168-2291,,,,,,,mis,3,,
"ieee transactions on knowledge 
and data engineering",1041-4347,,,,,,,mis,3,,
"ieee transactions on knowledge and 
data engineering",1041-4347,,,mis,2,mis,2,,,,
"ieee transactions on knowledge and data 
engineering",1041-4347,si,2,,,,,,,,
ieee transactions on knowledge and data engineering,1041-4347,,,,,,,,,mis,4
"ieee transactions on software 
engineering",0098-5589,,,mis,2,mis,2,mis,3,,
ieee transactions on software engineering,0098-5589,si,2,,,,,,,mis,3
"ieee transactions on systems man 
and cybernetics  part a systems 
and humans",1083-4427,,,,,mis,3,,,,
"ieee transactions on systems man 
and cybernetics part c applications 
and reviews",1094-6977,,,,,mis,4,,,,
"ieee transactions on systems man 
and cybernetics systems",2168-2216,,,,,,,mis,3,,
iim kozhikode society  management review,2321-029X,,,,,,,,,gen/man,4
"ilr review ex industrial and labor 
relations review",0019-7939,,,,,hrm,2,hrm,3,,
ilr review industrial and labor relations review,0019-7939,,,,,,,,,hrm,2
ima journal of management mathematics,1471-678X,,,,,,,,,gen/man,4
implementation science,1748-5908,,,hlth,2,hlth,2,hlth,3,hlth,4
industrial and corporate change,0960-6491,,,,,,,gen/man,2,gen/man,2
"industrial and labor relations 
review",0019-7939,,,hrm,2,,,,,,
industrial and labor relations review,0019-7939,grh,1,,,,,,,,
"industrial and organizational 
psychology perspectives on science 
and practice",1754-9426,,,,,,,hrm,2,,
industrial and organizational psychology  perspectives on science and practice,1754-9426,,,,,,,,,hrm,3
"industrial management and data 
systems",0263-5577,,,log,4,log,4,log,3,,
industrial management and data systems,0263-5577,log,4,,,,,,,log,3
industrial marketing management,0019-8501,mkg,2,mkg,2,mkg,2,mkg,2,mkg,2
industrial relations,0019-8676,grh,1,hrm,1,hrm,2,hrm,2,,
industrial relations a journal of economy and society,0019-8676,,,,,,,,,hrm,1
industry and innovation,1366-2716,innov,3,innov,3,innov,3,innov,3,innov,3
information and management,0378-7206,si,2,mis,2,mis,2,mis,1,mis,2
information and organization,1471-7727,si,2,mis,2,mis,2,mis,2,mis,2
information communication and society,1464-3650,,,,,,,,,soc,4
information systems and ebusiness management,1617-9846,,,,,,,,,mis,4
information systems frontiers,1387-3326,,,mis,4,mis,3,mis,3,mis,3
information systems journal,1350-1917,si,2,mis,2,mis,2,mis,1,mis,1
information systems research,1047-7047,si,1,mis,1,mis,1,mis,1,mis,1*
information technology and management,1385-951X,,,,,,,,,mis,4
